accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
2,1,1,1,1,1,"52,36","4,80",1,"1,00","7,09",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,87",4,"15,00","2,06",0,1,0,0,Low
2,1,1,1,1,1,"52,33","4,88",1,"1,00","6,08",1,1,0,0,Low
2,1,1,1,1,1,"52,35","4,89",2,"10,00","3,22",0,1,0,0,Low
4,1,2,2,1,2,"52,38","4,90",2,"0,00","0,34",1,1,0,0,Mid-High
2,1,1,1,2,1,"52,35","4,91",3,"35,00","2,80",0,1,0,0,Highest
2,1,1,1,1,1,"52,35","4,84",2,"6,00","4,95",0,0,1,0,Low
2,1,1,2,1,2,"52,32","4,99",3,"67,00","8,99",0,0,1,0,Low
4,1,2,1,2,1,"52,36","4,93",3,"2,00","3,25",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,93",2,"5,00","2,86",0,1,0,0,Low
2,1,0,1,1,1,"52,36","4,89",2,"0,00","2,81",0,1,0,0,Low
2,1,1,1,1,2,"52,38","4,88",2,"84,00","1,38",0,0,1,0,Low
2,2,1,1,1,1,"52,33","4,85",2,"0,00","6,05",0,0,1,0,Low
1,1,1,1,1,1,"52,38","4,95",5,"3,00","3,13",0,0,1,0,Low
2,1,1,1,1,1,"52,38","4,86",2,"0,00","2,93",1,1,0,0,Low
2,2,1,1,1,1,"52,34","4,91",3,"0,00","4,18",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,86",1,"2,00","2,58",0,0,1,0,Low
2,1,1,2,1,2,"52,36","4,94",1,"1,00","3,60",0,0,0,1,Low
2,1,1,1,2,1,"52,37","4,91",2,"0,00","1,03",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,86",1,"2,00","4,22",0,0,1,0,Low
2,1,1,1,1,1,"52,35","4,79",2,"44,00","8,30",1,0,1,0,Low
2,1,1,3,1,3,"52,32","4,97",2,"1,00","8,00",0,0,1,0,Low
1,1,1,3,1,3,"52,37","4,88",3,"52,00","2,23",0,0,1,0,Low
2,1,1,1,1,1,"52,35","4,90",3,"8,00","3,61",0,1,0,0,Low
2,1,1,1,2,2,"52,37","4,85",2,"53,00","3,49",0,1,0,0,Low
2,2,1,1,1,1,"52,36","4,84",2,"5,00","4,38",1,1,0,0,Low
4,1,1,1,1,1,"52,34","4,86",1,"2,00","4,76",0,1,0,0,Low
4,2,3,1,4,1,"52,37","4,87",4,"2,00","2,06",0,1,0,0,Mid-High
4,1,1,1,3,1,"52,38","4,82",3,"1,00","5,06",1,1,0,0,Low
4,1,2,1,1,1,"52,36","4,87",1,"74,00","2,49",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,92",4,"22,00","2,87",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,85",2,"5,00","3,69",1,0,1,0,Low
2,1,1,3,1,3,"52,37","4,93",3,"126,00","2,49",0,0,1,0,Low
2,1,1,1,1,1,"52,36","4,79",2,"5,00","7,83",0,0,0,1,Low
2,1,1,1,1,1,"52,38","4,85",1,"2,00","3,54",0,0,1,0,Low
2,1,1,1,1,1,"52,37","4,95",3,"20,00","3,55",0,1,0,0,Low
2,1,2,1,1,1,"52,37","4,81",2,"118,00","6,19",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,85",14,"8,00","3,10",0,1,0,0,Low
4,1,1,2,2,2,"52,39","4,88",3,"4,00","1,75",0,1,0,0,Low
